customer_id,customer_name,gender,age,country,industry,company_size,subscription_plan,billing_cycle,monthly_fee,customer_tenure_months,auto_renew,avg_login_days_per_month,avg_session_duration_min,features_used,storage_usage_gb,api_usage,mobile_app_usage,support_tickets,avg_response_time_hours,training_webinars_attended,last_month_login_count,nps_score,satisfaction_rating,total_revenue,discount_percentage,payment_method,late_payments,churn,churn_reason,customer_lifecycle,customer_engagement,support_experience,age_group,revenue_segment,retention_priority
CUST100000,Patricia White,Male,45,Australia,Finance,Small,Basic,Annual,20,23,No,24,21,6,344.65,Low,No,13,24.3,6,24,99,4,460,7,Bank Transfer,6,No,,Developing Customer,Daily User,Ongoing Support,37-46,Starter Account,Monitor Engagement
CUST100001,Priya Wilson,Female,44,France,Healthcare,Medium,Basic,Monthly,45.98,30,Yes,6,34,6,284.84,High,No,5,30.1,8,9,-19,3,1379.4,19,Credit Card,6,No,,Established Customer,Occasional User,Occasional Assistance,37-46,Growth Account,Monitor Engagement
CUST100002,Sarah Sanchez,Female,38,Australia,Finance,Enterprise,Premium,Annual,131.4,2,Yes,12,4,1,404.35,Medium,No,0,,8,29,-31,4,262.8,24,Credit Card,7,No,,New Customer,Daily User,No Support Needed,37-46,Starter Account,Loyal Customer
CUST100003,Patricia Lee,Male,36,Germany,IT,Small,Premium,Quarterly,125.53,2,No,26,79,7,109.14,Low,Yes,4,7,3,4,93,3,251.06,21,Credit Card,5,No,,New Customer,Rare Visitor,Occasional Assistance,37-46,Starter Account,Monitor Engagement
CUST100004,William Williams,Female,31,United States,IT,Medium,Basic,Monthly,24.46,61,No,23,26,6,48.33,Low,No,1,21.3,5,6,-41,4,1492.06,30,Credit Card,5,No,,Loyal Customer,Rare Visitor,Occasional Assistance,27-36,Growth Account,Monitor Engagement
CUST100005,Nancy Robinson,Female,38,India,Healthcare,Small,Basic,Quarterly,33.01,65,No,2,30,7,155.34,Low,Yes,10,47,3,14,22,2,2145.65,14,Credit Card,6,Yes,Low Usage,Loyal Customer,Occasional User,Ongoing Support,37-46,Business Account,Monitor Engagement
CUST100006,Chen Thompson,Female,23,Canada,IT,Small,Premium,Monthly,142.7,52,Yes,30,43,5,348.81,Low,Yes,13,23.2,6,12,100,4,7420.4,15,Credit Card,2,No,,Loyal Customer,Occasional User,Ongoing Support,18-26,Enterprise Account,Monitor Engagement
CUST100007,Wei White,Male,33,Australia,Healthcare,Medium,Standard,Quarterly,65.42,62,Yes,11,40,1,219.35,Low,Yes,14,15.2,2,4,53,4,4056.04,16,Paypal,0,No,,Loyal Customer,Rare Visitor,Ongoing Support,27-36,Enterprise Account,Monitor Engagement
CUST100008,Daniel Brown,Male,65,France,Education,Small,Standard,Monthly,81.14,41,No,14,2,11,312.06,Low,No,14,15.7,5,21,-85,2,3326.74,27,Paypal,4,Yes,Competitor,Established Customer,Consistent User,Ongoing Support,57+,Business Account,Monitor Engagement
CUST100009,Hans Wilson,Male,27,Canada,Finance,Medium,Basic,Annual,43.4,23,Yes,7,45,12,126.43,Low,Yes,1,27.6,6,8,1,4,998.2,5,Bank Transfer,2,No,,Developing Customer,Occasional User,Occasional Assistance,27-36,Growth Account,Monitor Engagement
CUST100010,Daniel Lopez,Female,53,United States,Finance,Small,Standard,Monthly,77.8,43,No,5,57,12,30.38,Medium,No,10,23.6,2,9,97,5,3345.4,22,Credit Card,5,No,,Established Customer,Occasional User,Ongoing Support,47-56,Business Account,Monitor Engagement
CUST100011,Linda Ramirez,Female,21,United States,Finance,Small,Standard,Annual,84.23,28,No,18,89,14,102.85,Medium,Yes,12,21,4,9,83,3,2358.44,13,Credit Card,5,No,,Established Customer,Occasional User,Ongoing Support,18-26,Business Account,Monitor Engagement
CUST100012,Ahmed Martin,Male,53,Australia,Healthcare,Medium,Basic,Monthly,24.57,55,No,3,107,7,494.6,High,Yes,6,24.7,4,16,-9,3,1351.35,1,Bank Transfer,8,No,,Loyal Customer,Consistent User,Frequent Assistance,47-56,Growth Account,Monitor Engagement
CUST100013,Thomas Harris,Male,32,United Kingdom,IT,Medium,Basic,Annual,20,15,Yes,11,92,7,283.87,Low,Yes,4,19.7,9,0,73,4,300,14,Credit Card,6,No,,Developing Customer,Rare Visitor,Occasional Assistance,27-36,Starter Account,Monitor Engagement
CUST100014,Nancy Wilson,Male,52,United Kingdom,Healthcare,Enterprise,Premium,Monthly,150.15,38,Yes,28,15,8,333.56,High,Yes,14,32.7,5,6,-32,1,5705.7,18,Credit Card,7,No,,Established Customer,Rare Visitor,Ongoing Support,47-56,Enterprise Account,Immediate Outreach
CUST100015,Charles Miller,Female,42,United States,IT,Medium,Basic,Monthly,20,62,Yes,6,81,10,319.13,Medium,No,8,10.2,3,0,-91,4,1240,28,Bank Transfer,7,No,,Loyal Customer,Rare Visitor,Frequent Assistance,37-46,Growth Account,Monitor Engagement
CUST100016,Patricia Taylor,Female,55,Canada,Healthcare,Small,Standard,Annual,68.13,45,Yes,27,21,10,35.73,Medium,Yes,3,14.2,1,25,-16,5,3065.85,20,Paypal,3,No,,Established Customer,Daily User,Occasional Assistance,47-56,Business Account,Monitor Engagement
CUST100017,Marie Johnson,Male,50,Canada,Retail,Medium,Standard,Annual,89.49,7,No,20,2,13,58.31,High,No,5,36.5,2,27,-76,1,626.43,21,Paypal,3,Yes,Price,New Customer,Daily User,Occasional Assistance,47-56,Starter Account,Monitor Engagement
CUST100018,Pierre Harris,Female,45,Australia,Healthcare,Medium,Basic,Monthly,20,72,Yes,20,19,9,462.33,High,No,14,27.6,0,3,53,3,1440,7,Credit Card,7,No,,Loyal Customer,Rare Visitor,Ongoing Support,37-46,Growth Account,Monitor Engagement
CUST100019,Barbara Jackson,Female,53,Germany,Manufacturing,Small,Premium,Monthly,196.12,39,No,6,69,5,317.87,High,Yes,7,23.3,7,0,-95,1,7648.68,17,Paypal,2,Yes,Competitor,Established Customer,Rare Visitor,Frequent Assistance,47-56,Enterprise Account,Immediate Outreach
CUST100020,Michael Thompson,Female,64,Germany,IT,Medium,Standard,Monthly,67.38,17,Yes,27,117,14,447.18,Medium,No,0,,2,20,-6,3,1145.46,8,Credit Card,2,No,,Developing Customer,Consistent User,No Support Needed,57+,Growth Account,Monitor Engagement
CUST100021,Wei Hernandez,Female,47,United Kingdom,Finance,Medium,Standard,Annual,54.96,55,Yes,19,49,4,381.41,Low,No,5,21.5,5,16,-59,3,3022.8,28,Bank Transfer,7,No,,Loyal Customer,Consistent User,Occasional Assistance,47-56,Business Account,Monitor Engagement
CUST100022,John Robinson,Male,27,Singapore,Finance,Enterprise,Standard,Monthly,61.75,46,Yes,29,106,1,498.63,High,Yes,10,43.7,9,9,100,3,2840.5,30,Credit Card,4,No,,Established Customer,Occasional User,Ongoing Support,27-36,Business Account,Monitor Engagement
CUST100023,Sarah Clark,Female,25,Australia,Manufacturing,Medium,Premium,Quarterly,148.92,11,No,24,80,14,172.18,Low,Yes,7,19.6,4,1,98,3,1638.12,27,Credit Card,6,No,,New Customer,Rare Visitor,Frequent Assistance,18-26,Growth Account,Monitor Engagement
CUST100024,Ananya White,Female,45,France,IT,Medium,Premium,Monthly,170.5,57,Yes,20,17,10,138.97,Low,No,14,45.3,2,10,62,4,9718.5,1,Paypal,5,No,,Loyal Customer,Occasional User,Ongoing Support,37-46,Enterprise Account,Monitor Engagement
CUST100025,Fatima Garcia,Female,39,Australia,Healthcare,Medium,Standard,Monthly,71.74,32,Yes,13,106,4,202.82,High,No,6,1.2,3,29,-32,1,2295.68,24,Paypal,2,Yes,Low Usage,Established Customer,Daily User,Frequent Assistance,37-46,Business Account,Monitor Engagement
CUST100026,Joseph Anderson,Female,47,United Kingdom,Finance,Medium,Standard,Quarterly,51.36,11,Yes,0,56,4,247.07,Low,No,5,47.8,7,29,-22,2,564.96,10,Credit Card,1,No,,New Customer,Daily User,Occasional Assistance,47-56,Starter Account,Monitor Engagement
CUST100027,Karen Johnson,Male,50,India,Manufacturing,Small,Premium,Monthly,176.39,11,Yes,11,19,7,198.58,Low,Yes,14,5.9,8,6,-77,1,1940.29,11,Paypal,0,Yes,Competitor,New Customer,Rare Visitor,Ongoing Support,47-56,Business Account,Immediate Outreach
CUST100028,Nancy Jones,Female,28,United states,Healthcare,Small,Basic,Monthly,20,67,Yes,9,77,9,197.75,Low,No,8,47,9,7,77,5,1340,23,Credit Card,4,No,,Loyal Customer,Rare Visitor,Frequent Assistance,27-36,Growth Account,Monitor Engagement
