Customer_ID,Customer_Name,Gender,Age,Country,Industry,Company_Size,Subscription_Plan,Billing_Cycle,Monthly_Fee,Customer_Tenure_Months,Auto_Renew,Avg_Login_Days_Per_Month,Avg_Session_Duration_Min,Features_Used,Storage_Usage_GB,API_Usage,Mobile_App_Usage,Support_Tickets,Avg_Response_Time_Hours,Training_Webinars_Attended,Last_Month_Login_Count,NPS_Score,Satisfaction_Rating,Total_Revenue,Discount_Percentage,Payment_Method,Late_Payments,Churn,Churn_Reason,Legacy_System_ID
CUST100000,patricia white,Male,45,Australia,Finance,Small,Basic,Annual,20,23,No,24,21,6,344.65,Low,No,13,24.3,6,24,99,4,460,7,Bank Transfer,6,No,,
CUST100001,Priya Wilson,Female,44,France,Healthcare,Medium,Basic,Monthly,45.98,30,Yes,6,34,6,284.84,High,No,5,30.1,8,9,-19,3,1379.29,19,Credit Card,6,No,,
CUST100002,Sarah Sanchez,Female,38,Australia,Finance,Enterprise,Premium,Annual,131.4,2,Yes,12,4,1,404.35,Medium,No,0,,8,29,-31,4,262.79,24,,7,No,,
CUST100003,Patricia Lee,Male,36,Germany,IT,Small,Premium,Quarterly,125.53,2,No,26,79,7,109.14,Low,Yes,4,7,3,4,93,3,251.06,21,,5,No,,
CUST100004,William Williams,Female,31,United States,IT,Medium,Basic,Monthly,24.46,61,No,23,26,6,48.33,Low,No,1,21.3,5,6,-41,4,1492.28,30,Credit Card,5,No,,
CUST100005,Nancy Robinson,Female,38,India,Healthcare,Small,Basic,Quarterly,33.01,65,No,2,30,7,155.34,Low,Yes,10,47,3,14,22,2,2145.78,14,CREDIT CARD,6,Yes,Low Usage,
CUST100006,Chen Thompson,Female,23,Canada,Information Technology,Small,Premium,Monthly,142.7,52,Yes,30,43,5,348.81,Low,Yes,13,23.2,6,12,100,4,7420.36,15,Credit Card,2,No,,
CUST100007,Wei White,Male,33,Australia,Healthcare,Medium,Standard,Quarterly,65.42,62,Yes,11,40,1,219.35,Low,Yes,14,15.2,2,4,53,4,4055.82,16,PayPal,0,No,,
CUST100008,Daniel Brown,Male,65,France,Education,Small,Standard,Monthly,81.14,41,No,14,2,11,312.06,Low,No,14,15.7,5,21,-85,2,3326.85,27,PayPal,4,Yes,Competitor,
CUST100009,Hans Wilson,Male,27,Canada,Finance,Medium,Basic,Annual,43.4,23,Yes,7,45,12,126.43,Low,Yes,1,27.6,6,8,1,4,998.24,5,Bank Transfer,2,No,,
CUST100010,Daniel Lopez,Female,53,usa,Finance,Small,Standard,Monthly,77.8,43,No,5,57,12,30.38,Medium,No,10,23.6,2,9,97,5,3345.47,22,CREDIT CARD,5,No,,
CUST100011,Linda Ramirez,Female,21,United States,Finance,Small,Standard,Annual,84.23,28,No,18,89,14,102.85,Medium,Yes,12,21,4,9,83,3,2358.39,13,CREDIT CARD,5,No,,
CUST100012,ahmed martin,Male,53,Australia,Healthcare,Medium,Basic,Monthly,24.57,55,No,3,107,7,494.6,High,Yes,6,24.7,4,16,-9,3,1351.39,1,Bank Transfer,8,No,,
CUST100013,Thomas Harris,Male,32,United Kingdom,IT,Medium,Basic,Annual,20,15,Yes,11,92,7,283.87,Low,Yes,4,19.7,9,0,73,4,300,14,credit card,6,No,,
CUST100014,NANCY WILSON,Male,52,United Kingdom,Healthcare,Enterprise,Premium,Monthly,2200,38,Yes,28,15,8,333.56,High,Yes,14,32.7,5,6,-32,1,83600,18,Credit Card,7,No,,
CUST100015,charles miller,Female,42,usa,IT,Medium,Basic,Monthly,20,62,Yes,6,81,10,319.13,Medium,No,8,10.2,3,0,-91,4,1240,28,Bank Transfer,7,No,,
CUST100016,Patricia Taylor,Female,55,Canada,Healthcare,Small,Standard,Annual,68.13,45,Yes,27,21,10,35.73,Medium,Yes,3,14.2,1,25,-16,5,3065.68,20,PayPal,3,No,,
CUST100017,Marie Johnson,Male,50,Canada,Retail,Medium,Standard,Annual,89.49,7,No,20,2,13,58.31,High,No,5,36.5,2,27,-76,1,626.46,21,PayPal,3,Yes,Price,
CUST100018,Pierre Harris,Female,45,Australia,Healthcare,Medium,Basic,Monthly,20,72,Yes,20,19,9,462.33,High,No,14,27.6,0,3,53,3,1440,7,Credit Card,7,No,,
CUST100019,barbara jackson,Female,53,Germany,Manufacturing,Small,Premium,Monthly,196.12,39,No,6,69,5,317.87,High,Yes,7,23.3,7,0,-95,1,7648.8,17,PayPal,2,Yes,Competitor,
CUST100020,Michael Thompson,Female,64,Germany,IT,Medium,Standard,Monthly,67.38,17,Yes,27,117,14,447.18,Medium,No,0,,2,20,-6,,1145.5,8,Credit Card,2,No,,
CUST100021,WEI HERNANDEZ,Female,47,United Kingdom,Finance,Medium,Standard,Annual,54.96,55,Yes,19,49,4,381.41,Low,No,5,21.5,5,16,-59,3,3022.79,28,Bank Transfer,7,No,,
CUST100022,JOHN ROBINSON,Male,27,Singapore,Finance,Enterprise,Standard,Monthly,61.75,46,Yes,29,106,1,498.63,High,Yes,10,43.7,9,9,100,3,2840.44,30,Credit Card,4,No,,
CUST100023,Sarah Clark,Female,25,Australia,Manufacturing,Medium,Premium,Quarterly,148.92,11,No,24,80,14,172.18,Low,Yes,7,19.6,4,1,98,3,1638.13,27,Credit Card,6,No,,
CUST100024,Ananya White,Female,45,France,information technology,Medium,Premium,Monthly,170.5,57,Yes,20,17,10,138.97,Low,No,14,45.3,2,10,62,4,9718.53,1,PayPal,5,No,,
CUST100025,Fatima Garcia,Female,39,Australia,Healthcare,Medium,Standard,Monthly,71.74,32,Yes,13,106,4,202.82,High,No,6,1.2,3,29,-32,1,2295.72,24,PayPal,2,Yes,Low Usage,LEG-37910
CUST100026,joseph anderson,Female,47,United Kingdom,Finance,Medium,Standard,Quarterly,51.36,11,Yes,0,56,4,247.07,Low,No,5,47.8,7,29,-22,2,564.97,10,credit card,1,No,,
CUST100027,karen johnson,Male,50,India,Manufacturing,Small,Premium,Monthly,176.39,11,Yes,11,19,7,198.58,Low,Yes,14,5.9,8,6,-77,1,1940.32,11,PayPal,0,Yes,Competitor,
CUST100028,Nancy Jones,Female,28,United states,Healthcare,Small,Basic,Monthly,20,67,Yes,9,77,9,197.75,Low,No,8,47,9,7,77,5,1340,23,credit card,4,No,,
CUST100029,Chen Lee,Female,54,Netherlands,Healthcare,Small,Premium,Annual,137.82,23,Yes,1,62,3,293.74,High,No,1,24.3,6,12,47,2,3169.93,5,Credit Card,4,No,,
CUST100030,Liam Thompson,Male,65,Australia,Healthcare,Small,Basic,Monthly,32.03,22,Yes,6,117,6,123.85,Medium,No,13,47.1,2,20,-26,3,704.74,5,CREDIT CARD,4,No,,
CUST100031,JOSEPH ROBINSON,Female,34,United States,Retail,Enterprise,Standard,Monthly,84.94,51,Yes,23,32,13,312.03,Medium,Yes,11,2.6,4,25,-65,3,4331.84,28,PayPal,7,No,,
CUST100032,Thomas Martinez,Male,62,Canada,information technology,Small,Basic,Monthly,39.49,56,No,17,19,10,207.07,High,No,12,29.2,8,1,-16,2,2211.42,9,Credit Card,1,No,,
CUST100033,liam lopez,Female,62,India,Information Technology,Medium,Standard,Monthly,43.79,7,Yes,19,41,6,223.51,High,No,9,5.1,3,11,-98,5,306.5,30,CREDIT CARD,5,Yes,Low Usage,
CUST100034,Patricia Anderson,Male,39,usa,IT,Small,Basic,Monthly,49.41,45,Yes,19,97,10,351.87,Medium,Yes,4,43.3,6,29,-12,5,2223.45,24,PayPal,5,No,,
CUST100035,Ahmed Garcia,Male,56,United States,Finance,Medium,Basic,Monthly,20,41,Yes,8,76,7,438.89,Low,No,5,4.5,6,24,-66,3,820,18,Credit Card,4,No,,
CUST100036,CHARLES BROWN,Female,62,Singapore,Healthcare,Medium,Standard,Monthly,79.51,40,Yes,29,98,13,413.58,Low,No,6,13.1,9,26,-36,5,3180.53,28,credit card,2,No,,LEG-99777
CUST100037,Ananya Anderson,Female,59,United Kingdom,Manufacturing,Enterprise,Premium,Annual,156.91,7,Yes,3,52,15,396.42,Low,Yes,7,14.1,4,17,-1,4,1098.36,2,Bank Transfer,4,No,,
